status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_original,combined_group,sample_weight,personal_status_sex_age_combined
... < 100 DM,24,existing credits paid back duly till now,radio/television,2996,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,4,car or other,Young,none,own,1,skilled employee/official,1,no,yes,0,20,male : married/widowed_Young,1.7647058823529411,male : married/widowed_Young
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,9034,100 <= ... < 500 DM,... < 1 year,4,male : single,co-applicant,1,unknown/no property,Young,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,29,male : single_Young,1.5288461538461535,male : single_Young
no checking account,24,critical account/other credits existing,radio/television,1585,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,Early-Middle,none,own,2,skilled employee/official,1,no,yes,1,40,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,1301,... < 100 DM,... >= 7 years,4,male : married/widowed,guarantor,2,real estate,Early-Middle,none,own,1,unskilled - resident,1,no,yes,1,32,male : married/widowed_Early-Middle,0.625,male : married/widowed_Early-Middle
... >= 200 DM / salary for at least 1 year,6,critical account/other credits existing,car (new),1323,100 <= ... < 500 DM,... >= 7 years,2,male : divorced/separated,none,4,car or other,Young,none,own,2,skilled employee/official,2,yes,yes,1,28,male : divorced/separated_Young,0.8333333333333334,male : divorced/separated_Young
... < 100 DM,24,existing credits paid back duly till now,car (new),3123,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,0,27,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,36,existing credits paid back duly till now,car (used),5493,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,Mid-Career,none,for free,1,skilled employee/official,2,no,yes,1,42,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... >= 200 DM / salary for at least 1 year,9,existing credits paid back duly till now,domestic appliances,1126,100 <= ... < 500 DM,... >= 7 years,2,male : divorced/separated,none,4,real estate,Mid-Career,none,own,1,skilled employee/official,1,no,yes,1,49,male : divorced/separated_Mid-Career,0.75,male : divorced/separated_Mid-Career
0 <= ... < 200 DM,24,critical account/other credits existing,domestic appliances,1216,100 <= ... < 500 DM,... < 1 year,4,male : single,none,4,unknown/no property,Early-Middle,bank,own,2,skilled employee/official,2,no,yes,0,38,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,car (new),1207,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,no,yes,0,24,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/no savings account,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/life insurance,Young,none,own,1,unskilled - resident,1,no,yes,0,27,male : single_Young,1.5288461538461535,male : single_Young
... >= 200 DM / salary for at least 1 year,15,critical account/other credits existing,car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... < 500 DM,unemployed,1,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,0,34,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,24,existing credits paid back duly till now,domestic appliances,1413,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,1,28,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,car or other,Mid-Career,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,45,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,12,existing credits paid back duly till now,car (new),759,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,0,26,male : single_Young,1.5288461538461535,male : single_Young
no checking account,36,existing credits paid back duly till now,car (used),4686,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,Early-Middle,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,32,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,others,2687,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,yes,yes,1,26,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,12,delay in paying off in the past,domestic appliances,585,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,co-applicant,4,real estate,Young,none,rent,2,skilled employee/official,1,no,yes,1,20,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,1,54,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,6,critical account/other credits existing,car (new),609,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,Early-Middle,none,own,2,skilled employee/official,1,no,no,1,37,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
... < 100 DM,6,critical account/other credits existing,car (new),1361,... < 100 DM,... < 1 year,2,male : single,none,4,real estate,Early-Middle,none,own,1,unskilled - resident,2,no,no,1,40,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,36,critical account/other credits existing,radio/television,7127,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,2,skilled employee/official,1,yes,yes,0,23,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,2,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,1,43,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,6,critical account/other credits existing,domestic appliances,700,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,Early-Middle,none,for free,2,skilled employee/official,1,no,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,24,critical account/other credits existing,education,5507,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Mid-Career,none,for free,2,skilled employee/official,1,no,yes,1,44,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,18,existing credits paid back duly till now,domestic appliances,3190,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,0,24,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,48,no credits taken/all credits paid back duly,radio/television,7119,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,Mid-Career,none,for free,2,skilled employee/official,2,no,yes,0,53,male : single_Mid-Career,1.875,male : single_Mid-Career
no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,Young,none,own,1,skilled employee/official,1,no,yes,1,23,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,1113,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,Young,none,own,1,unskilled - resident,2,no,yes,1,26,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),7966,... < 100 DM,... < 1 year,2,male : single,none,3,car or other,Young,none,own,2,skilled employee/official,1,no,yes,1,30,male : single_Young,0.7429906542056075,male : single_Young
no checking account,15,critical account/other credits existing,retraining,1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,31,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
no checking account,4,critical account/other credits existing,domestic appliances,1503,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,Mid-Career,none,own,2,unskilled - resident,2,no,yes,1,42,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,36,existing credits paid back duly till now,domestic appliances,2302,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,4,car or other,Early-Middle,none,rent,1,skilled employee/official,1,no,yes,0,31,male : divorced/separated_Early-Middle,1.05,male : divorced/separated_Early-Middle
... < 100 DM,6,existing credits paid back duly till now,car (new),662,... < 100 DM,... < 1 year,3,male : single,none,4,real estate,Mid-Career,none,own,1,unskilled - resident,2,yes,yes,1,41,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,2273,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,Early-Middle,none,own,2,skilled employee/official,2,no,yes,1,32,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,Young,none,rent,2,skilled employee/official,1,yes,yes,0,28,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,Mid-Career,none,rent,1,skilled employee/official,1,no,yes,1,41,male : married/widowed_Mid-Career,0.6875,male : married/widowed_Mid-Career
no checking account,24,existing credits paid back duly till now,domestic appliances,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,yes,yes,1,26,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,24,existing credits paid back duly till now,domestic appliances,3105,unknown/no savings account,... < 1 year,4,male : single,none,2,car or other,Young,none,own,2,skilled employee/official,1,no,yes,1,25,male : single_Young,0.7429906542056075,male : single_Young
... >= 200 DM / salary for at least 1 year,21,critical account/other credits existing,retraining,2319,... < 100 DM,... < 1 year,2,male : divorced/separated,none,1,car or other,Early-Middle,none,rent,1,skilled employee/official,1,no,yes,0,33,male : divorced/separated_Early-Middle,1.05,male : divorced/separated_Early-Middle
... < 100 DM,6,existing credits paid back duly till now,car (new),1374,unknown/no savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,Late-Career,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,75,female : divorced/separated/married_Late-Career,0.6052631578947368,female : divorced/separated/married_Late-Career
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,3612,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,1,37,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
... < 100 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Mid-Career,bank,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,0,42,male : single_Mid-Career,1.875,male : single_Mid-Career
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,radio/television,3049,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Mid-Career,stores,own,1,unskilled - resident,1,no,yes,1,45,female : divorced/separated/married_Mid-Career,0.6363636363636364,female : divorced/separated/married_Mid-Career
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1534,... < 100 DM,... < 1 year,1,male : married/widowed,none,1,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,0,23,male : married/widowed_Young,1.7647058823529411,male : married/widowed_Young
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,none,for free,2,skilled employee/official,1,yes,yes,1,60,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
... < 100 DM,30,existing credits paid back duly till now,radio/television,6350,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,no,yes,0,31,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,radio/television,2864,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,real estate,Early-Middle,none,own,1,unskilled - resident,2,no,yes,0,34,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,12,critical account/other credits existing,car (new),1255,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Late-Career,none,own,2,unskilled - resident,1,no,yes,1,61,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
... < 100 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,Mid-Career,none,for free,2,skilled employee/official,2,no,yes,0,43,male : single_Mid-Career,1.875,male : single_Mid-Career
no checking account,24,critical account/other credits existing,car (new),2022,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,1,37,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
no checking account,24,existing credits paid back duly till now,domestic appliances,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,Early-Middle,bank,own,1,skilled employee/official,2,no,yes,1,32,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,12,all credits at this bank paid back duly,domestic appliances,626,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,Young,bank,own,1,unskilled - resident,1,no,yes,0,24,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
no checking account,48,critical account/other credits existing,car (used),8858,unknown/no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,Early-Middle,none,for free,2,skilled employee/official,1,yes,yes,1,35,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,12,critical account/other credits existing,education,996,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,Young,none,own,2,skilled employee/official,1,no,yes,1,23,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,6,all credits at this bank paid back duly,domestic appliances,1750,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,Mid-Career,bank,own,1,unskilled - resident,2,no,yes,1,45,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,48,existing credits paid back duly till now,domestic appliances,6999,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,guarantor,1,real estate,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,0,34,male : married/widowed_Early-Middle,2.5,male : married/widowed_Early-Middle
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,car or other,Young,none,own,1,skilled employee/official,1,no,yes,1,27,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,retraining,1199,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Late-Career,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,67,female : divorced/separated/married_Late-Career,0.6052631578947368,female : divorced/separated/married_Late-Career
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1331,... < 100 DM,... < 1 year,2,male : single,none,1,car or other,Young,stores,own,1,skilled employee/official,1,no,yes,0,22,male : single_Young,1.5288461538461535,male : single_Young
0 <= ... < 200 DM,18,no credits taken/all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,female : divorced/separated/married,none,3,car or other,Young,none,own,2,skilled employee/official,1,no,yes,0,28,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
no checking account,21,no credits taken/all credits paid back duly,car (new),5003,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,bank,own,2,skilled employee/official,1,yes,yes,0,29,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,24,all credits at this bank paid back duly,radio/television,3552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,car or other,Young,bank,own,1,skilled employee/official,1,no,yes,0,27,male : single_Young,1.5288461538461535,male : single_Young
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1928,... < 100 DM,... < 1 year,2,male : single,none,2,real estate,Early-Middle,none,own,2,unskilled - resident,1,no,yes,0,31,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,car (used),2964,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,Mid-Career,bank,for free,1,skilled employee/official,2,yes,yes,1,49,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,24,all credits at this bank paid back duly,domestic appliances,1546,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,car or other,Young,bank,rent,1,unskilled - resident,1,no,yes,0,24,male : single_Young,1.5288461538461535,male : single_Young
... >= 200 DM / salary for at least 1 year,6,delay in paying off in the past,domestic appliances,683,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Young,bank,own,1,skilled employee/official,1,no,yes,1,29,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,Early-Middle,none,for free,1,skilled employee/official,1,yes,yes,0,37,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
0 <= ... < 200 DM,24,delay in paying off in the past,others,4712,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,Early-Middle,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,37,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,24,delay in paying off in the past,domestic appliances,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,none,rent,2,skilled employee/official,1,yes,yes,1,23,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
... < 100 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,none,3,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,0,36,male : divorced/separated_Early-Middle,1.05,male : divorced/separated_Early-Middle
no checking account,24,critical account/other credits existing,domestic appliances,2578,... >= 1000 DM,... >= 7 years,2,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,34,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3979,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,1,car or other,Mid-Career,none,own,2,skilled employee/official,2,yes,yes,1,41,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,48,existing credits paid back duly till now,domestic appliances,6758,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,0,31,female : divorced/separated/married_Early-Middle,1.5,female : divorced/separated/married_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,radio/television,3234,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,real estate,Young,none,rent,1,unskilled - resident,1,yes,yes,0,23,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
no checking account,30,critical account/other credits existing,domestic appliances,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,38,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,26,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
... < 100 DM,15,existing credits paid back duly till now,others,806,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,own,1,unskilled - resident,1,no,yes,1,22,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,1082,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Young,none,own,2,unskilled - resident,1,no,yes,1,27,male : single_Young,0.7429906542056075,male : single_Young
no checking account,15,critical account/other credits existing,radio/television,2788,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,car or other,Young,bank,own,2,skilled employee/official,1,no,yes,1,24,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,2930,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,Young,none,own,1,skilled employee/official,1,no,yes,1,27,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,24,critical account/other credits existing,retraining,1927,unknown/no savings account,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,1,33,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,36,critical account/other credits existing,car (new),2820,... < 100 DM,... < 1 year,4,male : divorced/separated,none,4,car or other,Young,none,own,2,skilled employee/official,1,no,yes,0,27,male : divorced/separated_Young,1.25,male : divorced/separated_Young
no checking account,24,existing credits paid back duly till now,business,937,... < 100 DM,... < 1 year,4,male : married/widowed,none,3,car or other,Young,none,own,2,unskilled - resident,1,no,yes,1,27,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
0 <= ... < 200 DM,18,critical account/other credits existing,car (new),1056,... < 100 DM,... >= 7 years,3,male : single,guarantor,3,real estate,Young,bank,own,2,skilled employee/official,1,no,yes,0,30,male : single_Young,1.5288461538461535,male : single_Young
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),3124,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,Mid-Career,bank,own,2,unskilled - resident,2,no,yes,1,49,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,9,existing credits paid back duly till now,radio/television,1388,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,1,26,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2384,... < 100 DM,... < 1 year,4,male : single,none,1,unknown/no property,Early-Middle,none,rent,1,unskilled - resident,1,no,yes,0,33,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,Mid-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,52,female : divorced/separated/married_Mid-Career,0.6363636363636364,female : divorced/separated/married_Mid-Career
... < 100 DM,18,existing credits paid back duly till now,radio/television,2039,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,Young,bank,rent,1,skilled employee/official,1,no,yes,0,20,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,9,critical account/other credits existing,car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,Early-Middle,none,rent,2,skilled employee/official,2,no,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,12,existing credits paid back duly till now,radio/television,1289,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/life insurance,Young,none,own,1,unskilled - resident,1,no,yes,1,21,male : single_Young,0.7429906542056075,male : single_Young
... < 100 DM,18,existing credits paid back duly till now,repairs,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,Mid-Career,none,own,1,unskilled - resident,1,yes,yes,0,47,male : married/widowed_Mid-Career,1.8333333333333333,male : married/widowed_Mid-Career
... < 100 DM,12,critical account/other credits existing,radio/television,2246,... < 100 DM,... >= 7 years,3,male : single,none,3,building society savings agreement/life insurance,Late-Career,none,own,2,skilled employee/official,1,no,yes,0,60,male : single_Late-Career,1.6538461538461535,male : single_Late-Career
... < 100 DM,12,critical account/other credits existing,domestic appliances,385,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,real estate,Late-Career,none,own,4,unskilled - resident,1,yes,yes,1,58,female : divorced/separated/married_Late-Career,0.6052631578947368,female : divorced/separated/married_Late-Career
0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Mid-Career,none,rent,2,skilled employee/official,1,yes,yes,1,42,female : divorced/separated/married_Mid-Career,0.6363636363636364,female : divorced/separated/married_Mid-Career
no checking account,21,existing credits paid back duly till now,others,1572,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,Early-Middle,bank,own,1,unskilled - resident,1,no,yes,1,36,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,unskilled - resident,1,yes,yes,0,20,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,24,all credits at this bank paid back duly,furniture/equipment,1358,unknown/no savings account,... >= 7 years,4,male : single,none,3,car or other,Early-Middle,stores,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,40,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Early-Middle,stores,own,1,unskilled - resident,1,no,yes,0,32,female : divorced/separated/married_Early-Middle,1.5,female : divorced/separated/married_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,car or other,Young,none,rent,2,skilled employee/official,1,no,yes,0,23,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,no credits taken/all credits paid back duly,others,4241,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,Early-Middle,none,own,3,unskilled - resident,1,yes,yes,0,36,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
