status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,age_original,credit_risk,personal_status_sex_age_combined
... < 100 DM,42,delay in paying off in the past,domestic appliances,4370,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,Young,bank,own,2,skilled employee/official,2,yes,yes,26,0,male : single_Young
... < 100 DM,18,existing credits paid back duly till now,retraining,750,... < 100 DM,unemployed,4,female : divorced/separated/married,none,1,real estate,Young,none,own,1,unemployed/unskilled - non-resident,1,no,yes,27,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,15,existing credits paid back duly till now,education,1308,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Early-Middle,none,own,2,unskilled - resident,1,no,yes,38,1,male : single_Early-Middle
no checking account,15,existing credits paid back duly till now,retraining,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,40,0,male : single_Early-Middle
no checking account,24,critical account/other credits existing,domestic appliances,1851,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,guarantor,2,car or other,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,33,1,male : married/widowed_Early-Middle
... < 100 DM,18,critical account/other credits existing,domestic appliances,1880,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/life insurance,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,32,1,male : married/widowed_Early-Middle
no checking account,36,delay in paying off in the past,others,7980,unknown/no savings account,... < 1 year,4,male : single,none,4,car or other,Young,none,rent,2,skilled employee/official,1,yes,yes,27,0,male : single_Young
... < 100 DM,30,no credits taken/all credits paid back duly,radio/television,4583,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,guarantor,2,real estate,Early-Middle,none,own,2,skilled employee/official,1,no,yes,32,1,male : divorced/separated_Early-Middle
no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,26,0,female : divorced/separated/married_Young
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,car (new),947,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,unknown/no property,Early-Middle,bank,for free,1,skilled employee/official,2,no,yes,38,0,male : single_Early-Middle
... < 100 DM,12,existing credits paid back duly till now,retraining,684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,Early-Middle,none,rent,1,unskilled - resident,2,no,yes,40,0,male : single_Early-Middle
... < 100 DM,48,existing credits paid back duly till now,retraining,7476,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,unknown/no property,Mid-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,50,1,male : single_Mid-Career
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1922,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,unskilled - resident,1,no,yes,37,0,male : single_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,... >= 7 years,4,male : single,co-applicant,1,real estate,Mid-Career,none,own,1,skilled employee/official,1,no,yes,45,0,male : single_Mid-Career
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,car or other,Mid-Career,none,own,4,management/self-employed/highly qualified employee/officer,1,yes,yes,42,0,male : single_Mid-Career
no checking account,24,critical account/other credits existing,car (used),2346,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,35,1,male : single_Early-Middle
... < 100 DM,14,existing credits paid back duly till now,car (new),3973,... < 100 DM,unemployed,1,male : single,none,4,unknown/no property,Young,none,for free,1,skilled employee/official,1,no,yes,22,1,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Mid-Career,bank,own,1,unskilled - resident,2,no,yes,41,0,male : single_Mid-Career
no checking account,48,existing credits paid back duly till now,domestic appliances,10222,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,3,car or other,Early-Middle,stores,own,1,skilled employee/official,1,yes,yes,37,1,male : single_Early-Middle
0 <= ... < 200 DM,30,no credits taken/all credits paid back duly,others,4221,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,car or other,Young,none,own,2,skilled employee/official,1,no,yes,28,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,6361,... < 100 DM,... >= 7 years,2,male : single,none,1,unknown/no property,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,41,1,male : single_Mid-Career
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,domestic appliances,1297,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,4,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,23,1,male : married/widowed_Young
... < 100 DM,12,existing credits paid back duly till now,car (new),900,unknown/no savings account,1 <= ... < 4 years,4,male : married/widowed,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,23,0,male : married/widowed_Young
no checking account,21,existing credits paid back duly till now,radio/television,2241,... < 100 DM,... >= 7 years,4,male : single,none,2,real estate,Mid-Career,none,own,2,skilled employee/official,1,no,yes,50,1,male : single_Mid-Career
0 <= ... < 200 DM,6,delay in paying off in the past,radio/television,1050,... < 100 DM,unemployed,4,male : single,none,1,building society savings agreement/life insurance,Early-Middle,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,35,1,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,6,critical account/other credits existing,retraining,1047,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,unskilled - resident,1,no,yes,50,1,female : divorced/separated/married_Mid-Career
no checking account,24,critical account/other credits existing,furniture/equipment,6314,... < 100 DM,unemployed,4,male : single,co-applicant,2,unknown/no property,Young,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,27,1,male : single_Young
0 <= ... < 200 DM,30,all credits at this bank paid back duly,radio/television,3496,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Early-Middle,stores,own,1,skilled employee/official,2,yes,yes,34,1,male : single_Early-Middle
no checking account,48,all credits at this bank paid back duly,others,3609,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,real estate,Young,stores,own,1,skilled employee/official,1,no,yes,27,1,female : divorced/separated/married_Young
... < 100 DM,12,critical account/other credits existing,car (new),4843,... < 100 DM,... >= 7 years,3,male : single,co-applicant,4,building society savings agreement/life insurance,Mid-Career,none,rent,2,skilled employee/official,1,yes,yes,43,0,male : single_Mid-Career
... >= 200 DM / salary for at least 1 year,30,critical account/other credits existing,domestic appliances,3017,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,47,1,male : single_Mid-Career
no checking account,24,critical account/other credits existing,others,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,3,building society savings agreement/life insurance,Young,none,own,2,unskilled - resident,1,yes,yes,27,1,male : single_Young
no checking account,36,existing credits paid back duly till now,others,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,31,1,male : single_Early-Middle
no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,42,1,male : single_Mid-Career
no checking account,6,critical account/other credits existing,car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,24,1,male : married/widowed_Young
no checking account,21,delay in paying off in the past,others,2580,500 <= ... < 1000 DM,... < 1 year,4,male : single,none,2,real estate,Mid-Career,bank,own,1,unskilled - resident,2,no,yes,41,0,male : single_Mid-Career
no checking account,30,critical account/other credits existing,domestic appliances,4530,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,26,1,female : divorced/separated/married_Young
no checking account,24,critical account/other credits existing,radio/television,5150,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,33,1,male : single_Early-Middle
0 <= ... < 200 DM,72,existing credits paid back duly till now,domestic appliances,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,24,0,male : married/widowed_Young
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,2384,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Late-Career,bank,rent,1,unskilled - resident,1,no,yes,64,1,male : single_Late-Career
no checking account,18,existing credits paid back duly till now,domestic appliances,1453,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,real estate,Young,none,own,1,skilled employee/official,1,no,yes,26,1,female : divorced/separated/married_Young
no checking account,6,existing credits paid back duly till now,retraining,1538,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,unknown/no property,Late-Career,none,own,1,skilled employee/official,1,no,yes,56,1,female : divorced/separated/married_Late-Career
no checking account,12,existing credits paid back duly till now,domestic appliances,2279,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,Early-Middle,none,for free,1,skilled employee/official,1,yes,yes,37,1,male : single_Early-Middle
no checking account,15,delay in paying off in the past,domestic appliances,1478,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,Early-Middle,bank,own,2,skilled employee/official,1,no,yes,33,1,male : married/widowed_Early-Middle
no checking account,24,critical account/other credits existing,domestic appliances,5103,... < 100 DM,... < 1 year,3,male : married/widowed,none,3,unknown/no property,Mid-Career,none,for free,3,skilled employee/official,1,yes,yes,47,1,male : married/widowed_Mid-Career
0 <= ... < 200 DM,36,delay in paying off in the past,others,9857,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : single,none,3,building society savings agreement/life insurance,Early-Middle,none,own,2,unskilled - resident,2,yes,yes,31,1,male : single_Early-Middle
no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,Early-Middle,none,for free,1,skilled employee/official,2,yes,yes,34,1,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,10,critical account/other credits existing,domestic appliances,1347,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/life insurance,Young,none,own,2,skilled employee/official,1,yes,yes,27,1,male : single_Young
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2862,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,3,unknown/no property,Young,none,for free,1,skilled employee/official,1,no,yes,30,1,male : single_Young
no checking account,9,existing credits paid back duly till now,domestic appliances,2753,100 <= ... < 500 DM,... >= 7 years,3,male : single,co-applicant,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,35,1,male : single_Early-Middle
... < 100 DM,12,existing credits paid back duly till now,car (new),3651,... >= 1000 DM,1 <= ... < 4 years,1,male : single,none,3,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,2,no,yes,31,1,male : single_Early-Middle
... < 100 DM,15,critical account/other credits existing,radio/television,975,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,3,building society savings agreement/life insurance,Young,none,own,2,skilled employee/official,1,no,yes,25,1,male : divorced/separated_Young
0 <= ... < 200 DM,15,existing credits paid back duly till now,education,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,Young,none,own,1,unskilled - resident,1,no,yes,25,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,2896,100 <= ... < 500 DM,... < 1 year,2,male : single,none,1,car or other,Young,none,own,1,skilled employee/official,1,no,yes,29,1,male : single_Young
... < 100 DM,6,critical account/other credits existing,car (new),4716,unknown/no savings account,... < 1 year,1,male : single,none,3,real estate,Mid-Career,none,own,2,unskilled - resident,2,no,yes,44,1,male : single_Mid-Career
no checking account,24,existing credits paid back duly till now,domestic appliances,2284,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,28,1,male : single_Young
no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,rent,1,skilled employee/official,1,no,yes,50,1,male : single_Mid-Career
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1103,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,3,real estate,Young,none,own,2,skilled employee/official,1,no,no,29,1,male : single_Young
no checking account,12,critical account/other credits existing,car (new),926,... < 100 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,unemployed/unskilled - non-resident,1,no,yes,38,1,female : divorced/separated/married_Early-Middle
no checking account,18,critical account/other credits existing,domestic appliances,1800,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Young,none,own,2,skilled employee/official,1,no,yes,24,1,male : single_Young
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,retraining,1905,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Early-Middle,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,40,1,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,radio/television,1123,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,unskilled - resident,1,no,yes,29,0,female : divorced/separated/married_Young
... < 100 DM,48,critical account/other credits existing,car (used),6331,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Mid-Career,none,for free,2,skilled employee/official,1,yes,yes,46,0,male : single_Mid-Career
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,domestic appliances,1377,100 <= ... < 500 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,Mid-Career,none,for free,1,skilled employee/official,1,yes,yes,47,1,female : divorced/separated/married_Mid-Career
0 <= ... < 200 DM,30,delay in paying off in the past,others,2503,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,Mid-Career,stores,own,2,skilled employee/official,1,no,yes,41,1,male : single_Mid-Career
0 <= ... < 200 DM,27,existing credits paid back duly till now,others,2528,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,2,yes,yes,32,1,female : divorced/separated/married_Early-Middle
no checking account,15,existing credits paid back duly till now,car (new),5324,500 <= ... < 1000 DM,... >= 7 years,1,female : divorced/separated/married,none,4,unknown/no property,Early-Middle,none,for free,1,skilled employee/official,1,no,yes,35,1,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),6560,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,24,0,male : single_Young
0 <= ... < 200 DM,12,no credits taken/all credits paid back duly,radio/television,2969,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,Young,none,rent,2,skilled employee/official,1,no,yes,25,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,1206,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,Young,none,own,1,skilled employee/official,1,no,yes,25,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,2118,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,Early-Middle,none,own,1,unskilled - resident,2,no,yes,37,1,male : single_Early-Middle
no checking account,18,critical account/other credits existing,domestic appliances,629,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,Early-Middle,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,32,1,male : single_Early-Middle
... < 100 DM,6,all credits at this bank paid back duly,retraining,1198,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,Early-Middle,none,for free,1,skilled employee/official,1,no,yes,35,0,female : divorced/separated/married_Early-Middle
no checking account,21,existing credits paid back duly till now,car (used),2476,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,Mid-Career,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,46,1,male : single_Mid-Career
... < 100 DM,9,critical account/other credits existing,domestic appliances,1138,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,Young,none,own,2,unskilled - resident,1,no,yes,25,1,male : single_Young
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),14027,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,unknown/no property,Young,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,27,0,male : single_Young
no checking account,30,critical account/other credits existing,car (used),7596,unknown/no savings account,... >= 7 years,1,male : single,none,4,car or other,Late-Career,none,own,2,skilled employee/official,1,no,yes,63,1,male : single_Late-Career
no checking account,30,critical account/other credits existing,domestic appliances,3077,unknown/no savings account,... >= 7 years,3,male : single,none,2,car or other,Early-Middle,none,own,2,skilled employee/official,2,yes,yes,40,1,male : single_Early-Middle
no checking account,18,existing credits paid back duly till now,domestic appliances,1505,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,unknown/no property,Early-Middle,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,32,1,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,domestic appliances,3148,unknown/no savings account,1 <= ... < 4 years,3,male : single,none,2,car or other,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,31,1,male : single_Early-Middle
0 <= ... < 200 DM,20,no credits taken/all credits paid back duly,car (used),6148,100 <= ... < 500 DM,... >= 7 years,3,male : married/widowed,none,4,car or other,Early-Middle,bank,own,2,skilled employee/official,1,yes,yes,31,1,male : married/widowed_Early-Middle
... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,domestic appliances,1337,... < 100 DM,... < 1 year,4,male : single,none,2,car or other,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,34,0,male : single_Early-Middle
0 <= ... < 200 DM,6,all credits at this bank paid back duly,retraining,433,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,bank,rent,1,skilled employee/official,2,no,yes,24,0,female : divorced/separated/married_Young
... < 100 DM,12,existing credits paid back duly till now,car (new),1228,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,Young,none,own,1,unskilled - resident,1,no,yes,24,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,790,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,Late-Career,none,own,1,unskilled - resident,1,no,yes,66,1,female : divorced/separated/married_Late-Career
no checking account,27,existing credits paid back duly till now,car (new),2570,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,21,0,female : divorced/separated/married_Young
no checking account,6,critical account/other credits existing,car (new),250,... >= 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,Mid-Career,bank,own,2,unskilled - resident,1,no,yes,41,1,female : divorced/separated/married_Mid-Career
no checking account,15,critical account/other credits existing,domestic appliances,1316,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/life insurance,Mid-Career,none,own,2,unskilled - resident,1,no,yes,47,1,male : married/widowed_Mid-Career
... < 100 DM,18,existing credits paid back duly till now,domestic appliances,1882,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Young,bank,rent,2,skilled employee/official,1,no,yes,25,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,48,all credits at this bank paid back duly,others,6416,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,3,unknown/no property,Late-Career,none,rent,1,skilled employee/official,1,no,yes,59,0,female : divorced/separated/married_Late-Career
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,others,1275,... >= 1000 DM,1 <= ... < 4 years,2,male : divorced/separated,none,4,real estate,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,36,1,male : divorced/separated_Early-Middle
0 <= ... < 200 DM,24,delay in paying off in the past,domestic appliances,6403,... < 100 DM,... < 1 year,1,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,33,1,male : single_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1987,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,Young,none,rent,1,unskilled - resident,2,no,yes,21,0,male : single_Young
0 <= ... < 200 DM,8,existing credits paid back duly till now,domestic appliances,760,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,guarantor,2,real estate,Mid-Career,none,own,1,unskilled - resident,1,no,yes,44,1,female : divorced/separated/married_Mid-Career
no checking account,24,existing credits paid back duly till now,car (used),2603,... >= 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,skilled employee/official,1,yes,yes,28,1,female : divorced/separated/married_Young
no checking account,4,critical account/other credits existing,car (new),3380,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,1,real estate,Early-Middle,none,own,1,skilled employee/official,2,no,yes,37,1,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,36,all credits at this bank paid back duly,repairs,3990,unknown/no savings account,... < 1 year,3,female : divorced/separated/married,none,2,unknown/no property,Young,bank,own,1,unemployed/unskilled - non-resident,1,no,yes,29,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),11560,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,Young,none,rent,2,management/self-employed/highly qualified employee/officer,1,no,yes,23,0,female : divorced/separated/married_Young
... < 100 DM,18,existing credits paid back duly till now,car (new),4380,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,4,car or other,Early-Middle,none,own,1,unskilled - resident,2,yes,yes,35,1,male : single_Early-Middle
no checking account,6,critical account/other credits existing,car (new),6761,... < 100 DM,4 <= ... < 7 years,1,male : single,none,3,unknown/no property,Mid-Career,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,45,1,male : single_Mid-Career
0 <= ... < 200 DM,30,no credits taken/all credits paid back duly,others,4280,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Young,none,rent,2,unskilled - resident,1,no,yes,26,0,female : divorced/separated/married_Young
... < 100 DM,24,all credits at this bank paid back duly,car (new),2325,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,car or other,Early-Middle,bank,own,1,skilled employee/official,1,no,yes,32,1,male : single_Early-Middle
0 <= ... < 200 DM,10,all credits at this bank paid back duly,domestic appliances,1048,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,Young,stores,own,1,unskilled - resident,1,no,yes,23,1,male : single_Young
no checking account,21,existing credits paid back duly till now,domestic appliances,3160,unknown/no savings account,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,41,1,male : single_Mid-Career
... < 100 DM,24,all credits at this bank paid back duly,radio/television,2483,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,Young,stores,own,1,skilled employee/official,1,yes,yes,22,1,male : single_Young
... < 100 DM,39,critical account/other credits existing,radio/television,14179,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,building society savings agreement/life insurance,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,30,1,male : single_Young
... < 100 DM,13,critical account/other credits existing,others,1797,... < 100 DM,... < 1 year,3,male : single,none,1,building society savings agreement/life insurance,Young,bank,own,2,unskilled - resident,1,no,yes,28,1,male : single_Young
... < 100 DM,15,existing credits paid back duly till now,car (new),2511,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,23,1,female : divorced/separated/married_Young
... < 100 DM,12,existing credits paid back duly till now,car (new),1274,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,real estate,Early-Middle,none,own,1,unskilled - resident,1,no,yes,37,0,female : divorced/separated/married_Early-Middle
no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,3,car or other,Young,none,own,1,skilled employee/official,1,no,yes,26,1,male : single_Young
no checking account,15,existing credits paid back duly till now,car (used),3029,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,33,1,male : single_Early-Middle
... < 100 DM,6,existing credits paid back duly till now,radio/television,428,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Mid-Career,bank,own,1,skilled employee/official,1,yes,yes,49,1,female : divorced/separated/married_Mid-Career
... < 100 DM,18,existing credits paid back duly till now,car (new),976,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,car or other,Young,none,own,1,unskilled - resident,1,no,yes,23,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,others,841,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,Young,none,rent,1,unskilled - resident,1,no,yes,23,1,female : divorced/separated/married_Young
no checking account,30,critical account/other credits existing,domestic appliances,5771,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,Young,none,own,2,skilled employee/official,1,no,yes,25,1,female : divorced/separated/married_Young
no checking account,12,delay in paying off in the past,education,1555,... >= 1000 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Mid-Career,none,for free,2,skilled employee/official,2,no,yes,55,0,male : single_Mid-Career
... < 100 DM,24,existing credits paid back duly till now,car (new),1285,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown/no property,Early-Middle,none,rent,1,skilled employee/official,1,no,yes,32,0,female : divorced/separated/married_Early-Middle
... >= 200 DM / salary for at least 1 year,6,critical account/other credits existing,car (new),1299,... < 100 DM,1 <= ... < 4 years,1,male : single,none,1,real estate,Late-Career,none,own,3,unemployed/unskilled - non-resident,2,no,no,74,1,male : single_Late-Career
... >= 200 DM / salary for at least 1 year,15,critical account/other credits existing,domestic appliances,1271,unknown/no savings account,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,Early-Middle,none,for free,2,skilled employee/official,1,yes,yes,39,0,male : single_Early-Middle
no checking account,24,existing credits paid back duly till now,car (new),1393,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,31,1,male : single_Early-Middle
... < 100 DM,12,critical account/other credits existing,car (new),691,... < 100 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,Early-Middle,none,own,2,skilled employee/official,1,no,yes,35,0,male : single_Early-Middle
